CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS,,,
L65929MN1987PLC002802,NEW MILLENIUM HEALTH CARE PRODUCTS & EQUIPMENT LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,20-11-87,Manipur,220000000,220000000,65929,Financial intermediation,"DHARAMSALA ROAD, IMPHAL, , Unclassified MN 000000",RoC-Shillong,NA,NA,NA, , , 
U01100MN2016PTC013499,BOTWAYS FARMER PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-11-16,Manipur,1500000,200000,1100,"Agriculture, hunting and related service activities","KHABUNG KARONG PO&PS - SENAPATI SENAPATI , Senapati Unclassified MN 795007",RoC-Shillong,hlnhreikhenamai@gmail.com,NA,NA,,,
U01100MN2016PTC013508,SIDAYAI CHENGUM PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-12-16,Manipur,1500000,200000,1100,"Agriculture, hunting and related service activities","SINGJAMEI CHINGAMAKHA MAISNAM LEIKAI IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01100MN2017PTC013597,RUWMEE ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-10-17,Manipur,1500000,200000,1100,"Agriculture, hunting and related service activities","KOMLATHABI VILLAGE CHANDEL , Chandel Unclassified MN 795127",RoC-Shillong,thomparoel@gmail.com,31-03-20,31-03-20,,,
U01100MN2017PTC013598,CHINGAREL ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,06-11-17,Manipur,1000000,333000,1100,"Agriculture, hunting and related service activities","C/O. GREEN FOUNDATION KWAKEITHEL THIYAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,chingarel.organic@gmail.com,31-03-19,31-03-19,,,
U01100MN2017PTC013611,CHING TAM ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,19-12-17,Manipur,1000000,10000,1100,"Agriculture, hunting and related service activities","Thangmeiband Meisnam Leikai, P.O.-Imphal, P.S.-Lamphel, Paona Bazar, Imphal , West Imphal Unclassified MN 795001",RoC-Shillong,dhanabir202@gmail.com,31-03-18,31-03-18,,,
U01100MN2018OPC013659,ATHOILEN FOOD INDUSTRIES (OPC) PRIVATELIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,12-04-18,Manipur,1000000,500000,1100,"Agriculture, hunting and related service activities","C/O. THANGJAM PRIYANKA DEVI IED-IV, 61-4-NB KHURAI LAMLONG KEITHEL , East Imphal Unclassified MN 795010",RoC-Shillong,OUGRICPL@GMAIL.COM,NA,NA,,,
U01100MN2018PTC013618,REANGLUANG ORGANIC FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-01-18,Manipur,1000000,10000,1100,"Agriculture, hunting and related service activities","LONGMAI (NONEY) 1 NUNGBA SUBDIVISION NUNGBA , Tamenglong Unclassified MN 795147",RoC-Shillong,awoyo.lungleng@gmail.com,31-03-20,31-03-20,,,
U01100MN2018PTC013700,MATIK MANGAAL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-06-18,Manipur,1000000,550000,1100,"Agriculture, hunting and related service activities","C/O. T. SUBHASH SINGH, IED-II PSP-362(LSD2) LANGOL GAME VILLAGE MARY KOM ACADEMY , West Imphal Unclassified MN 795004",RoC-Shillong,ougricpl@gmail.com,NA,NA,,,
U01100MN2018PTC013737,EDEN INTEGRATED FOOD PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,18-09-18,Manipur,100000,100000,1100,"Agriculture, hunting and related service activities","Mao Gate, Senapati District Manipur SENAPATI , Senapati Unclassified MN 795150",RoC-Shillong,pcsvaibhavgarg@gmail.com,31-03-19,NA,,,
U01100MN2018PTC013740,MANIPURFARM ENTERPRISE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-09-18,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","B-1-60/2 KABRABAM LEIKAI IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,sinamba@gmail.com,31-03-20,31-03-20,,,
U01100MN2018PTC013746,LEISHEMBI PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-09-18,Manipur,20000000,1820000,1100,"Agriculture, hunting and related service activities","C/O. T. SUBHASH SINGH, IED-II PSP-362(LSD2) LANGOL GAME VILLAGE MARY KOM ACADEMY , West Imphal Unclassified MN 795004",RoC-Shillong,OUGRICPL@GMAIL.COM,NA,NA,,,
U01100MN2019OPC013857,LAMAN AGRO AND MILCH (OPC) PRIVATELIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,22-04-19,Manipur,100000,100000,1100,"Agriculture, hunting and related service activities","NEAR KLLK CLUB MAYANG IMPHAL WANGKHEI LEIKAI IMPHAL WEST WEST IMPHAL , West Imphal Unclassified MN 795132",RoC-Shillong,sweetsummerchill16@gmail.com,NA,NA,,,
U01100MN2019OPC013919,HONGBEI AGROVET (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,06-08-19,Manipur,100000,100000,1100,"Agriculture, hunting and related service activities","c/o. nepram manihar, IED-III, 12-E-7/14 KOIROU, THONGJU PART 2, IMPHAL EAST , East Imphal Unclassified MN 795003",RoC-Shillong,KUNJACMSPL@GMAIL.COM,NA,NA,,,
U01100MN2019PTC013793,KEIHOO AGROTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-01-19,Manipur,1000000,200000,1100,"Agriculture, hunting and related service activities","C/O ONJAMANG TOUTHANG, HOUSE NO.10, NEW MOLTUH,BIJANG. IMPHAL , Churachandpur Unclassified MN 795128",RoC-Shillong,caprashantrajesh@gmail.com,NA,NA,,,
U01100MN2019PTC013794,MOILANG AGROTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-01-19,Manipur,1000000,100000,1100,"Agriculture, hunting and related service activities","S/O SOIBAM IBOCHA SINGH TERA YENGKHOM LEIRAK IMPHAL WEST , West Imphal Unclassified MN 795001",RoC-Shillong,HEMANTA.SOIBAM@GMAIL.COM,31-03-19,31-03-19,,,
U01100MN2019PTC013841,KOIRENG AND SONS FISHERY AND POULTRYPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-19,Manipur,300000,300000,1100,"Agriculture, hunting and related service activities","12296, 23 - B - 24 / 11, Haobam Marak, Ngangom Leikai, IMPHAL , West Imphal Unclassified MN 795001",RoC-Shillong,bhanu50devi@gmail.com,31-03-20,31-03-20,,,
U01100MN2019PTC013842,KOIRENG AND SONS AGRO INDUSTRIES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-19,Manipur,300000,300000,1100,"Agriculture, hunting and related service activities","12296, 23 - B - 24 / 11, Haobam Marak, Ngangom Leikai, IMPHAL WEST, , West Imphal Unclassified MN 795001",RoC-Shillong,thokchomkhushi38@gmail.com,31-03-20,31-03-20,,,
U01100MN2019PTC013892,ASHAKAMAL AGROVET PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-07-19,Manipur,100000,20000,1100,"Agriculture, hunting and related service activities","C/O AJITKUMAR HEIRANGKHONGJAM, NAMBOL WARD NO.6,NAMBOL BISHNUPUR BISHNUPUR , Bishnupur Unclassified MN 795134",RoC-Shillong,CSPUINACHANDRA@GMAIL.COM,31-03-20,31-03-20,,,
U01100MN2019PTC013929,THINGTANGPA FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,19-08-19,Manipur,1000000,10000,1100,"Agriculture, hunting and related service activities","C/O. P. VUMZATHANG 204/NE, PETHUEL VENGNUAM SOUTH, NEW LAMKA, CHURACHANDPUR CHURACHANDPUR , Churachandpur Unclassified MN 795128",RoC-Shillong,ougricpl@gmail.com,31-03-20,31-03-20,,,
U01100MN2019PTC013938,SAIKHOM BROTHER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-09-19,Manipur,100000,20000,1100,"Agriculture, hunting and related service activities","C/O. SAIKHOM BANKY SINGH, POROMPAT NAHARUP HUIREM LEIKAI IMPHAL EAST , East Imphal Unclassified MN 795005",RoC-Shillong,KUNJACMSPL@GMAIL.COM,31-03-20,31-03-20,,,
U01100MN2019PTC013973,KAKCHING ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,07-11-19,Manipur,1500000,200000,1100,"Agriculture, hunting and related service activities","C/O NAOREM ACHOUBA SINGH NINGTHOU LEIKAI KAKCHING , Thoubal Unclassified MN 795128",RoC-Shillong,ougricpl@gmail.com,31-03-20,31-03-20,,,
