CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L26942ML2001PLC006663,STAR CEMENT LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-11-01,Meghalaya,830000000,412429000,26942,Manufacture of other non-metallic mineral products,"VILL LUMSHNONG,KHALIEHRIAT JAINTIA HILLS MEGHALAYA , Unclassified ML 793200",RoC-Shillong,debabratathakurta@starcement.co.in,31-03-20,31-03-20
L27310ML2011PLC008564,STAR FERRO AND CEMENT LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,10-03-11,Meghalaya,230000000,222172990,27310,Manufacture of basic metals,"Vill.: Lumshnong, PO: Khaliehriat Lumshnong , Jaintia Hills Unclassified ML 793210",RoC-Shillong,debabratathakurta@starcement.co.in,31-03-16,31-03-16
L27310ML2011PLC008578,SHYAM CENTURY FERROUS LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-04-11,Meghalaya,222700000,222172990,27310,Manufacture of basic metals,"Vill.: Lumshnong, PO: Khaliehriat Lumshnong , Jaintia Hills Unclassified ML 793210",RoC-Shillong,nehaagarwal@starcement.co.in,31-03-20,31-03-20
L51909ML1993PLC003931,EASTERN MINING AND ALLIED INDUSTRIESLIMITED.,Active,Public,Company limited by Shares,Non-govt company,15-06-93,Meghalaya,250000000,244502000,51909,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","""AGYA COTTAGE"" LOWER LACHUMIERE SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,NA,NA,NA
L55101ML1985PLC002457,INDRAPRASTHA HOLDINGS LTD.,Strike Off,Public,Company limited by Shares,Non-govt company,29-11-85,Meghalaya,20000000,19001900,55101,Hotels and restaurants,"AUCKLAND ROAD, OPP. P&T QUARTER DIST. EAST KHASI HILLS SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,NA,NA,NA
U01100ML2013PTC008532,MEGH INFINITY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-01-13,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","HOUSE NO 209 LOWER LACHAUMIERE SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,bhalangsingh@gmail.com,31-03-18,31-03-18
U01100ML2016PTC013609,EAST INDIA HILLS FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-06-16,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","PALA COMPLEX, HOWELL ROAD, LABAN SHILLONG , East Khasi Hills Unclassified ML 793004",RoC-Shillong,eastindiahillsfpc2016@gmail.com,31-03-19,31-03-19
U01100ML2016PTC013618,AMLAREM FARMER PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-12-16,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","KRANGPAMTADONG AMLAREM , Jaintia Hills Unclassified ML 793150",RoC-Shillong,sunnythubru@gmail.com,31-03-17,31-03-17
U01100ML2017PTC013628,KATULI AGRO PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-05-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","VILL KATULI PO KATLI KATULI , South Garo Hills Unclassified ML 794115",RoC-Shillong,saljongsangma2017@gmail.com,NA,NA
U01100ML2017PTC013630,GARO HILL TEA PROCESSING INDUSTRYPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-06-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","BURNY HILL P.O- DAKOPGRI TURA , West Garo Hills Unclassified ML 794101",RoC-Shillong,ccmissionorganic@gmail.com,NA,NA
U01100ML2017PTC013634,BYRON LIVESTOCK PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-07-17,Meghalaya,500000,100000,1100,"Agriculture, hunting and related service activities","SAKET BHAWAN POLICE BAZAR SHILLONG , East Khasi Hills Unclassified ML 793002",RoC-Shillong,DADHICHASSOCIATESSHG@GMAIL.COM,NA,NA
U01100ML2017PTC013636,GANDHIPARA-BETASING FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-07-17,Meghalaya,20000000,100000,1100,"Agriculture, hunting and related service activities","R/o Haridas Koch Gandhipara west garo hills , West Garo Hills Unclassified ML 794105",RoC-Shillong,fridinad@gmail.com,31-03-20,31-03-20
U01100ML2017PTC013639,CHOKPOT FARMERS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-07-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","Dobogre South Garo Hills , South Garo Hills Unclassified ML 794005",RoC-Shillong,anilkumarsingh183@gmail.com,31-03-20,31-03-20
U01100ML2017PTC013640,CHIGANCHINGGRE-SAMANDA FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-08-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","Jakopgre East Garo Hills , East Garo Hills Unclassified ML 794111",RoC-Shillong,fds.missionorganic@gmail.com,31-03-20,31-03-20
U01100ML2017PTC013641,MARAHALIPARA FOOD PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,16-08-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","KALAIGAON MARAHALIPARA, P.O- KALAI P/S- MAHENDRAGANJ SOUTH WEST GARO HILLS , West Garo Hills Unclassified ML 794115",RoC-Shillong,jogadishsanma2017@gmail.com,NA,NA
U01100ML2017PTC013646,SOHPOOK ORGANIC GROWER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,18-10-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O DENEL WAHPHLANG VILLAGE RAITONG, B.P.O MAWHATI, P.O & O.P UMSNING RI BHOI , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,sohpookagro001@yahoo.com,31-03-20,31-03-20
U01100ML2017PTC013647,TOMONPO ANGLONG ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,23-10-17,Meghalaya,1000000,100000,1100,"Agriculture, hunting and related service activities","VILL PLASHA B.P.O UMDEN P .O & P.S NONGPOH RI BHOI DISTRICT RI BHOI , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,tompnoo01@gmail.com,31-03-20,31-03-20
U01100ML2017PTC013648,EASTERN RI BHOI ORGANIC FARMER PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-10-17,Meghalaya,1000000,620000,1100,"Agriculture, hunting and related service activities","C/O PALEILANGSHA S MARNANIANG D/O S RANGKYNSAI VILLAGE LUMDAITKHLA, PO BHOIRYMBONG RI BHOI , Ri-Bhoi Unclassified ML 793116",RoC-Shillong,easternribhoiorganicfpc@gmail.com,31-03-20,31-03-20
U01100ML2019PTC013718,SAWKHER AGRO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-12-19,Meghalaya,1000000,500000,1100,"Agriculture, hunting and related service activities","C/O NATHANIEL THANGKHIEW, OPP. CHURCH OF GOD, NONGKSEH, BLOCK-VI, UPPER SHILLONG, SHILLONG , East Khasi Hills Unclassified ML 793005",RoC-Shillong,newyearlythangkhiew@gmail.com,NA,NA
U01110ML2020PTC013747,LA-I-JONG FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,26-10-20,Meghalaya,1000000,100000,1110,"Agriculture, hunting and related service activities","Pahamsning, Village Nongkhrah Opp. Nongkhrah Nonglyngdoh Sec. School Nongpoh , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,laijongfpc@gmail.com,NA,NA
U01111ML1989PTC003336,MEGHA FARMS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,28-08-89,Meghalaya,1000000,2000,1111,"Agriculture, hunting and related service activities","29 A CANTONMENTSHILLONG EAST KHASI HILLS MEGHALAYA , East Khasi Hills Unclassified ML 793002",RoC-Shillong,NA,NA,NA
U01114ML2017PTC013633,TANGABARIPARA-BETASING FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-07-17,Meghalaya,1000000,100000,1114,"Agriculture, hunting and related service activities","Gandhipara West Garo Hills , West Garo Hills Unclassified ML 794105",RoC-Shillong,anilkumarsingh183@gmail.com,31-03-20,31-03-20
U01116ML1989PTC003203,PIONEER RUBBER ESTATES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,28-02-89,Meghalaya,500000,15000,1116,"Agriculture, hunting and related service activities","POLICE BAZAR SHILLONG SHILLONG , East Khasi Hills Unclassified ML 793001",RoC-Shillong,NA,NA,NA
U01116ML1995PTC004535,MEGHALAYA RUBBER PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,11-08-95,Meghalaya,1000000,5000,1116,"Agriculture, hunting and related service activities","KHARKUTTAEAST GARO HILLS MEGHALAYA , East Garo Hills Unclassified ML 000000",RoC-Shillong,NA,NA,NA
U01116ML2003PTC007139,ALKANANDA PLANTATIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,20-06-03,Meghalaya,1000000,100000,1116,"Agriculture, hunting and related service activities","10TH MILESMAWSMAI VILLAGE RAID MARWET MYLLIEM SYIEMSHIP MEGHALAYA , West Khasi Hills Unclassified ML 000000",RoC-Shillong,NA,NA,NA
U01116ML2009FTC008357,WORLDVIEW IMPACT (INDIA) PRIVATE LIMITED,Active,Private,Company limited by Shares,Subsidiary of Foreign Company,31-03-09,Meghalaya,10000000,5106600,1116,"Agriculture, hunting and related service activities","JAIAW CHAPEL ROAD SHILLONG , Unclassified ML 793002",RoC-Shillong,i.blah@worldviewimpact.com,31-03-20,31-03-20
U01117ML1974PLC001595,MEGHALAYA PHYTOCHEMICALS LIMITED.,Strike Off,Public,Company limited by Shares,Non-govt company,05-11-74,Meghalaya,10000000,9000000,1117,"Agriculture, hunting and related service activities","BARAPANI, DIST. EAST KHASI HILLS , East Khasi Hills Unclassified ML 793103",RoC-Shillong,NA,NA,NA
U01117ML2008PTC008305,JRT PLANTATTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,04-02-08,Meghalaya,1000000,100000,1117,"Agriculture, hunting and related service activities","C/O KIDS CARE, UPPER NEW COLONY LAITUMKHRAH SHILLONG , Unclassified ML 793003",RoC-Shillong,amitops@gmail.com,31-03-13,31-03-13
U01119ML2006PLC008165,IKF GREEN FUEL LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-05-06,Meghalaya,500000000,309736960,1119,"Agriculture, hunting and related service activities","GREEN VIEW BUILDING, FLAT NO.3, THIRD FLOOR, LABAN SHILLONG , Unclassified ML 793004",RoC-Shillong,cs@ikftech.in,31-03-19,31-03-19
U01119ML2012PTC008502,POTENTIAL AGRI VENTURES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,24-05-12,Meghalaya,1000000,100000,1119,"Agriculture, hunting and related service activities","19 UMBUDA (MYLLIEM SYIEMSHIP) RI BHOI SHILLONG , Ri-Bhoi Unclassified ML 793102",RoC-Shillong,ramaym@yahoo.com,NA,NA
U01122ML1996PTC004843,MEGHALAYA AGRO FOODS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,04-09-96,Meghalaya,5000000,4000,1122,"Agriculture, hunting and related service activities","UPPER CHANDMARIWEST GARO HILLS DIST TURA MEGHALAYA , West Garo Hills Unclassified ML 000000",RoC-Shillong,NA,NA,NA
U01122ML2007PTC008245,CREATIVE FARMS AND RESOURCES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-01-07,Meghalaya,500000,0,1122,"Agriculture, hunting and related service activities","C/O Symon Cottage LOWER POKHSEH SHILLONG , East Khasi Hills Unclassified ML 793006",RoC-Shillong,crgrco@yahoo.com,NA,NA
U01122ML2007PTC008247,COINONYA FARMS PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-03-07,Meghalaya,20500000,13604100,1122,"Agriculture, hunting and related service activities","C/O DOSSIER LODGE LOWER LACHUMIERE SHILLONG , Unclassified ML 793001",RoC-Shillong,ranadhirpal@gmail.com,31-03-12,31-03-12
U01122ML2015PTC008581,MARAK AGRO-HORTI PRIVATE LIMITED,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,02-02-15,Meghalaya,500000,500000,1122,"Agriculture, hunting and related service activities","VILLAGE:-NANGWALBIBRA P.O:-NANGWALBIBRA NANGWALBIBRA , South Garo Hills Unclassified ML 794102",RoC-Shillong,rajak7147@gmail.com,NA,NA
U01132ML1955PTC001071,SYEDBARI TEA CO PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,20-12-55,Meghalaya,350000,350000,1132,"Agriculture, hunting and related service activities","""Bait-no-Saad"" Shillong , East Khasi Hills Unclassified ML 793003",RoC-Shillong,NA,NA,NA
U01132ML1991PLC003574,NORTH EAST INDIA PLANTATIONS ANDINDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-07-91,Meghalaya,10000000,5600000,1132,"Agriculture, hunting and related service activities","VANSTAND, NONGTHYMMAI, SHILLONG , East Khasi Hills Unclassified ML 000000",RoC-Shillong,NA,NA,NA
U01132ML1995PTC004489,UMTAR MEGHALAYA PLANTATION INDIA PVTLTD.,Active,Private,Company limited by Shares,Non-govt company,28-06-95,Meghalaya,5000000,4964000,1132,"Agriculture, hunting and related service activities","UMITYRNGA P O Pillingkata , Ri-Bhoi Unclassified ML 793101",RoC-Shillong,savioj00@gmail.com,31-03-20,31-03-20
U01132ML1999PTC005829,ASHIMA PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-07-99,Meghalaya,10000000,3540000,1132,"Agriculture, hunting and related service activities","FANCY VALLEY WEST GARO HILLS TURA , West Garo Hills Unclassified ML 794001",RoC-Shillong,unsaha01@rediffmail.com,31-03-20,31-03-20
U01132ML2001PTC006487,MEGHALAYA BUSHES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,10-04-01,Meghalaya,500000,100000,1132,"Agriculture, hunting and related service activities","USUMKHOLGRAWILLIAMNAGAR EAST GARO HILLS MEGHALAYA , East Khasi Hills Unclassified ML 794111",RoC-Shillong,NA,NA,NA
U01132ML2006PTC008241,BLOOMED AGRO PLANTATION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-12-06,Meghalaya,2000000,1000000,1132,"Agriculture, hunting and related service activities","MAWSMAI 11TH MILE G. S. ROAD BYRNIHAT , Ri-Bhoi Unclassified ML 793101",RoC-Shillong,anbarcom@yahoo.co.uk,31-03-11,31-03-11
U01132ML2014PTC008574,ARENGH TEA INDUSTRY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-08-14,Meghalaya,1000000,100000,1132,"Agriculture, hunting and related service activities","ARENG TEA FACTORY, RONGRAM, WEST GARO HILLS TURA , West Garo Hills Unclassified ML 794001",RoC-Shillong,arenghteaindustry17@gmail.com,31-03-20,31-03-20
U01134ML1918PLC000214,UNITED FRUIT CO LTD,Active,Public,Company limited by Shares,Non-govt company,07-06-18,Meghalaya,1225000,1225000,1134,"Agriculture, hunting and related service activities","NONGMALI SHILLONG , Unclassified ML 793008",RoC-Shillong,aibannangkiewblah@gmail.com,31-03-20,31-03-20
U01135ML1989PTC003357,MEGHALAYA SPICE AND AGRO EXTRACTS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,17-10-89,Meghalaya,5000000,2000,1135,"Agriculture, hunting and related service activities","PAYAL COTTAGE NONGRIM HILLSSHILLONG MEGHALAYA , East Khasi Hills Unclassified ML 000000",RoC-Shillong,aproc@rediffmail.com,NA,NA
U01135ML1998PTC005298,NORTH EAST SPICES TRADERS INDIA PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,12-01-98,Meghalaya,500000,500000,1135,"Agriculture, hunting and related service activities","MOOKERJEE MOTOR COMPLEXKEATING ROAD SHILLONG MEGHALAYA , East Khasi Hills Unclassified ML 793001",RoC-Shillong,NA,NA,NA
U01200ML2011PTC008451,KHASI-JAINTIA LIVESTOCK PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-11,Meghalaya,500000,100000,1200,"Agriculture, hunting and related service activities","MAWLAI MAWIONG RIM P.O MAWIONG, UMJAPUNG SHILLONG , East Khasi Hills Unclassified ML 793016",RoC-Shillong,xanadukie@gmail.com,NA,NA
U01221ML1996PTC004860,PREMIER PIG BREEDING FARM PRIVATELIMITED,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,18-09-96,Meghalaya,5000000,100000,1221,"Agriculture, hunting and related service activities","JAIAW LANGSNINGEAST KHASI HILLS SHILLONG MEGHALAYA , Unclassified ML 793001",RoC-Shillong,shy.chettri@gmail.com,31-03-16,31-03-16
