CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
U01100MZ2016PTC013293,ZO THLAI THAR PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-05-16,Mizoram,1000000,10000,1100,"Agriculture, hunting and related service activities","DURTLANG MIZORAM MIZORAM , Aizawl Unclassified MZ 796025",RoC-Shillong,lalbiaka1966@gmail.com,NA,NA
U01100MZ2018PTC013328,CHHIMPHEI WOMEN POULTRY PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,20-09-18,Mizoram,1000000,290000,1100,"Agriculture, hunting and related service activities","H NO 10, M: 60 NEAR WAITING SHED, BAWANGKAWN VENG MELRIAT , Aizawl Unclassified MZ 796005",RoC-Shillong,CSSANJEEVJHA@GMAIL.COM,31-03-20,31-03-20
U01100MZ2019OPC013350,ZOLZAU FARM (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,05-07-19,Mizoram,1000000,100000,1100,"Agriculture, hunting and related service activities","TNVT 235 Tlangnuam Vengthar AIZAWL , Aizawl Unclassified MZ 796015",RoC-Shillong,vlpeka_mz@yahoo.com,NA,NA
U01100MZ2019PTC013336,ALALMAWIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-02-19,Mizoram,100000,100000,1100,"Agriculture, hunting and related service activities","C/O LALMAWIA, H.NO.-C/7, ZOZINGA BLDG VAIVAKAWN ROAD, TUIKUAL NORTH AIZAWL , Aizawl Unclassified MZ 796001",RoC-Shillong,talumoya@gmail.com,NA,NA
U01100MZ2020PTC013370,ZAUPUI ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-09-20,Mizoram,1500000,10000,1100,"Agriculture, hunting and related service activities","House No 18, Neuva Section Chhimchhawng Veng, Ngopa, Saitual , Champhai Unclassified MZ 796290",RoC-Shillong,atanusristi@gmail.com,NA,NA
U01100MZ2020PTC013374,CHAMPHAI ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,16-10-20,Mizoram,1500000,10000,1100,"Agriculture, hunting and related service activities","NEAR PRESBYTERIAN ENGLISH MEDIUM SCHOOL TLANGSAM CHAMPHAI , Champhai Unclassified MZ 796321",RoC-Shillong,birdseyechilli1.fpo@gmail.com,NA,NA
U01110MZ2011PLC008266,NORTH EAST STEVIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-08-11,Mizoram,1000000,1000000,1110,"Agriculture, hunting and related service activities","T-123, Model Veng, Near Fisheries Dept., Lengpui Lengpui , Aizawl Unclassified MZ 796410",RoC-Shillong,northeaststevia@gmail.com,NA,NA
U01110MZ2020PTC013369,KOLASIB ORGENIC TURMERIC PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-08-20,Mizoram,1000000,10000,1110,"Agriculture, hunting and related service activities","ROOM NO 12, SECOND FLOOR CPC, ZORAM MEGA FOOD PARK NH 54 KHAMRANG , Kolasib Unclassified MZ 796070",RoC-Shillong,fpokolasib05@gmail.com,NA,NA
U01111MZ1999PLC005713,ZORAM AGRICULTURAL TRADING COMPANY LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,26-03-99,Mizoram,5000000,35000,1111,"Agriculture, hunting and related service activities","P O BAZAR BUNGKAWN AIZAWL , Unclassified MZ 000000",RoC-Shillong,NA,NA,NA
U01112MZ2020PTC013372,TLANGNUAM ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,28-09-20,Mizoram,1000000,10000,1112,"Agriculture, hunting and related service activities","HOUSE NO 141 THINGSUL TLANGNUAM AIZAWL , Aizawl Unclassified MZ 796161",RoC-Shillong,tlangnuamorganicspi@gmail.com,NA,NA
U01113MZ2018PTC013315,VAREDIMA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-18,Mizoram,1000000,200000,1113,"Agriculture, hunting and related service activities","C-23,NEAR TRANSPORT OFFICE, CHALTLANG LILY VENG,C/O RUNREMSANGI AIZWAL , Aizawl Unclassified MZ 796001",RoC-Shillong,chhawnchhek@gmail.com,NA,NA
U01114MZ2018PTC013312,AINON ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-01-18,Mizoram,100000,100000,1114,"Agriculture, hunting and related service activities","A/F No 10. Near PCI Pastor Quater, Thuampui, Aizawl , Aizawl Unclassified MZ 796017",RoC-Shillong,santosh@vamco.in,NA,NA
U01114MZ2019PTC013333,CHHIMTLANG HANDLOOM PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,15-01-19,Mizoram,1000000,100000,1114,"Agriculture, hunting and related service activities","VILL-KHANGHMUN P.O-ZOTLANG LUNGLEI , Lunglei Unclassified MZ 796701",RoC-Shillong,awmpuiakh@gmail.com,NA,NA
U01114MZ2019PTC013355,ZOFRESH FARMS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-09-19,Mizoram,100000,100000,1114,"Agriculture, hunting and related service activities","C/O HMANGAIHZUALI V, HOUSE NO. T-23 TUIKHUAHTLANG AIZAWL , Aizawl Unclassified MZ 796001",RoC-Shillong,zofreshpdtion@gmail.com,NA,NA
U01119MZ1997PTC005236,VEE CEE COMMERCIALS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,03-11-97,Mizoram,200000,20000,1119,"Agriculture, hunting and related service activities","6AWNGKAWNRAMHLUN ROAD AIZAWAL MIZORAM , Unclassified MZ 000000",RoC-Shillong,NA,NA,NA
U01119MZ2000PTC006070,MIZORAM AGRO FOREST PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-03-00,Mizoram,2500000,30000,1119,"Agriculture, hunting and related service activities","0LECTRIC VENG B 69AIZAWL MIZORAM , Unclassified MZ 000000",RoC-Shillong,NA,NA,NA
