CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L20101NL1985PLC002284,SANGRAHALAYA TIMBER AND CRAFTS LTD,Active,Public,Company limited by Shares,Non-govt company,04-01-85,Nagaland,200100000,200100000,20101,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","P.O. - NAGINIMARA DIST : MON NAGALAND , Unclassified NL 798622",RoC-Shillong,sangtcl17@gmail.com,31-03-20,31-03-20
L20211NL1984PLC002149,HOTAHOTI WOOD PRODUCTS LTD,Active,Public,Company limited by Shares,Non-govt company,08-03-84,Nagaland,200100000,199999600,20211,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","P.O. - NAGINIMORA, MON, Nagaland , Unclassified NL 798622",RoC-Shillong,hwpl17@gmail.com,31-03-20,31-03-20
U00201NL1997PTC004980,MANGLOI PLANTATIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,05-02-97,Nagaland,3000000,200,201,Unclassified,"CIRCULAR ROADOPP HOLY CROSS DIMAPUR NAGALAND , Kohima Unclassified NL 000000",RoC-Shillong,NA,NA,NA
U01100NL2011PLC008305,FLORA & FAUNA AGRO FARMING LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-09-11,Nagaland,500000,500000,1100,"Agriculture, hunting and related service activities","Sharon Complex, House No.215, 1st Floor Opp. State Bank of India, Chumukedima Dimapur , Dimapur Unclassified NL 797112",RoC-Shillong,akansanju@gmail.com,NA,NA
U01100NL2016PTC013404,SHIVARCHANA AGRO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-08-16,Nagaland,1000000,100000,1100,"Agriculture, hunting and related service activities","H NO. 78, DUNCAN BASTI, BEHIND ESSAR PETROL PUMP DC COURT JUNCTION DIMAPUR , Dimapur Unclassified NL 797112",RoC-Shillong,shivarchana123agro@gmail.com,31-03-20,31-03-20
U01100NL2017PTC013425,DIMAPUR AGRITECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-03-17,Nagaland,1000000,100000,1100,"Agriculture, hunting and related service activities","House No. 243 Toulazouma Village Dimapur , Dimapur Unclassified NL 797112",RoC-Shillong,swuro.kuthozo@gmail.com,NA,NA
U01100NL2017PTC013430,NAGAMAIKI SMALLHOLDER PIG PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-04-17,Nagaland,2500000,223750,1100,"Agriculture, hunting and related service activities","NBCC Building, First Floor, Road Level Bayavu Colony, Kohima Kohima , Kohima Unclassified NL 797001",RoC-Shillong,orenthung@neida.org.in,31-03-20,31-03-20
U01100NL2018PTC013449,MOLSANG ORGANIC PINEAPPLES PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-04-18,Nagaland,1000000,500000,1100,"Agriculture, hunting and related service activities","House No.121 C, Molvom Village, P.O. Medziphema Dimapur , Dimapur Unclassified NL 797106",RoC-Shillong,npopcltd@gmail.com,31-03-20,31-03-20
U01100NL2018PTC013461,PEREN PIG PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-10-18,Nagaland,1000000,100000,1100,"Agriculture, hunting and related service activities","JALUKIE BLOCK JALUKIE , Kohima Unclassified NL 797110",RoC-Shillong,CLNPA7064C@GMAIL.COM,31-03-20,31-03-20
U01100NL2018PTC013463,WAMEKEN VALLEY TEA PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,15-11-18,Nagaland,15000000,15000000,1100,"Agriculture, hunting and related service activities","WAMEKEN TZUDIKONG TOWN TULI , Mokokchung Unclassified NL 798623",RoC-Shillong,ltemjenjamir67@gmail.com,31-03-20,31-03-20
