CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
U01100TR2011PTC008327,GOMATI AGRI PRODUCER PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-07-11,Tripura,2000000,1000000,1100,"Agriculture, hunting and related service activities","Vill : Bagma, P .O. : Bagma Udaipur , South Tripura Unclassified TR 799119",RoC-Shillong,akansanju@gmail.com,31-03-12,31-03-12
U01100TR2016PTC013479,KRISHI O KRISHAK PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-16,Tripura,2000000,1688000,1100,"Agriculture, hunting and related service activities","VILLAGE CHATARIA UDAIPUR, POST GOKULPUR DIST GOMATI , South Tripura Unclassified TR 799120",RoC-Shillong,bswnath@gmail.com,31-03-20,31-03-20
U01100TR2017PTC013507,PILAK ORGANIC PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-02-17,Tripura,1000000,1000000,1100,"Agriculture, hunting and related service activities","HAIRMARA S.D. MISSION AGARTALA , West Tripura Unclassified TR 799003",RoC-Shillong,organicsupplyagency@yahoomail.com,NA,NA
U01100TR2018PTC013562,AGROOT AGRO FISHERY AND ANIMAL HUSBANDRYPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-04-18,Tripura,1000000,300000,1100,"Agriculture, hunting and related service activities","Chayana Begam, W/o Kamal Hossain Durganagar, Bishalgarh DURGANAGR , West Tripura Unclassified TR 799102",RoC-Shillong,mkhossain457@gmail.com,NA,NA
U01100TR2018PTC013568,TRIPRA PAPER MILL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-05-18,Tripura,200000,200000,1100,"Agriculture, hunting and related service activities","RAMNAGAR A.K. ROAD, MOJA- AGARTALA, RAMNAGAR AGARTALA , West Tripura Unclassified TR 799002",RoC-Shillong,chowdhurypaper@gmail.com,NA,NA
U01100TR2018PTC013585,CRJ AND SONS PLANTATIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-08-18,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O-J R CHAKMA,NEAR FIRE BRIGADE STATION GARJAN TILLA, DEPPACHARI-II JATANBARI GOMATI , South Tripura Unclassified TR 799194",RoC-Shillong,miltonchakma@gmail.com,31-03-20,31-03-20
U01100TR2018PTC013589,TRIPURESWARI FEED & LAYER PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,01-09-18,Tripura,14000000,14000000,1100,"Agriculture, hunting and related service activities","SUKHEN DEBNATH S/O HARIPAD DEBNATH BISHRAMGANJ, BARJALA, GOLAGATI AGARTALA , West Tripura Unclassified TR 799103",RoC-Shillong,tripureswarilayer@gmail.com,31-03-20,31-03-20
U01100TR2018PTC013594,ARAA AGRO PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-09-18,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","VILL & P.O: DARCHWAI P.S. & SUB-DIVISION- KUMARGHAT,DIST:UNAKOTI KUMARGHAT , North Tripura Unclassified TR 799264",RoC-Shillong,Darlong777@gmail.com,31-03-19,31-03-19
U01100TR2018PTC013599,JOIBO KRISHAK UTTHAN PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,03-10-18,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","TABARIA, UTTAR LAXMILUNGA GP, BAMUTIA RD BLOCK BAMUTIA , West Tripura Unclassified TR 799015",RoC-Shillong,dhmps9721j@gmail.com,NA,NA
U01100TR2018PTC013600,SEPAHIJALA WOMEN FARMER PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,05-10-18,Tripura,1000000,259000,1100,"Agriculture, hunting and related service activities","Vill: Barakmura, Kemtali, P.O & P.S : Melaghar, Nelchar R D Block Sepahijala , West Tripura Unclassified TR 799115",RoC-Shillong,swfpcl.sepahijala@gmail.com,31-03-19,31-03-19
U01100TR2018PTC013603,DHARMANAGAR AGRO ORGANIC PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-10-18,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","NATUN BAZAR, PRATAKRAY, KALACHERRA R D BLOCK, DHARMANAGAR , North Tripura Unclassified TR 799251",RoC-Shillong,amopn8209j@gmail.com,NA,NA
U01100TR2018PTC013606,JMT AGRO FOODS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-10-18,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","KHATIAN NO. 25356, DAG NO.-2/33/46218, HOLDING NO.1399, 2ND FLOOR,AGARTALA EAST AGARTALA , West Tripura Unclassified TR 799001",RoC-Shillong,princesingh89@hotmail.com,NA,NA
U01100TR2019PTC013638,UDAIYAN AGROTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-02-19,Tripura,1000000,500000,1100,"Agriculture, hunting and related service activities","C/o Swapan Bhowmik West bank of Jagannat Dighi, Udaipur,Ward No 12 PO R.K PUR,DIST- GOMATI, , South Tripura Unclassified TR 799120",RoC-Shillong,udaiyanagrotech@gmail.com,NA,NA
U01100TR2019PTC013644,NAYA UDDYOM AGROTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-02-19,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","AMIT ROY S/O ANIL CH. ROY BHATI, ABHOYNAGAR, CANTANMENT ROAD AGARTALA , West Tripura Unclassified TR 799001",RoC-Shillong,amit15.roy1973@gmail.com,NA,NA
U01100TR2019PTC013744,BAGMA AGRI PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-12-19,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","C/O-ABHIJIT DEY(SUV), S/O-DINESH CH. DEY SAMATAL BAGMA-799114 BAGMA , South Tripura Unclassified TR 799114",RoC-Shillong,BAGMAFPO2019@GMAIL.COM,31-03-20,31-03-20
U01100TR2019PTC013745,MUHURI ORGANIC FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,31-12-19,Tripura,1000000,100000,1100,"Agriculture, hunting and related service activities","VILL RAMRAIBARI JOLAIBARI RD BLOCK SOUTH TRIPURA , South Tripura Unclassified TR 799141",RoC-Shillong,muhuriorganic@gmail.com,NA,NA
U01100TR2020OPC013835,TRIBAC FARMING MARKETING (OPC) PRIVATELIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,17-09-20,Tripura,25000,25000,1100,"Agriculture, hunting and related service activities","C/O SUMIT TANTI, HUPLONGCHERRA NEAR HUPLONG GP OFFICE NORTHTRIPURA , North Tripura Unclassified TR 799254",RoC-Shillong,sumittanti264@gmail.com,NA,NA
U01100TR2020PTC013751,NIRMAHAL ORGANIC FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-01-20,Tripura,1500000,100000,1100,"Agriculture, hunting and related service activities","RAMDAS PARA BASTALI,BISRAMGANJ SEPAHIJALA , West Tripura Unclassified TR 799103",RoC-Shillong,nirmahalorganic123@gmail.com,NA,NA
U01100TR2020PTC013760,CHOKHRENG ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,11-02-20,Tripura,100000,100000,1100,"Agriculture, hunting and related service activities","C/o Subod Debbarma, Balaram Thakur Para Jirania WEST TRIPURA , West Tripura Unclassified TR 799045",RoC-Shillong,suboddebbarma01@gmail.com,31-03-20,31-03-20
U01100TR2020PTC013763,KALAJHARI ORGANIC FARMERS PRODUCERCOMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-02-20,Tripura,1500000,100000,1100,"Agriculture, hunting and related service activities","PURNAJOY PARA WEST SARBONG,AMARPUR GOMATI , South Tripura Unclassified TR 799101",RoC-Shillong,KALAJHARI123@gmail.com,NA,31-03-20
U01100TR2020PTC013784,HATAINI ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,14-06-20,Tripura,100000,100000,1100,"Agriculture, hunting and related service activities","C/o Shibcharan Reang,Village Madhucharan Para,Anand Bazar ,Kanchanpur Tripura , North Tripura Unclassified TR 799271",RoC-Shillong,shibcharanreang@gmail.com,NA,NA
U01100TR2020PTC013811,RKBHOWMIK AGRO PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-08-20,Tripura,1500000,160000,1100,"Agriculture, hunting and related service activities","Ramnagar Road No-2, Ramnagar, Agartala, Tripura West, Agartala , West Tripura Unclassified TR 799002",RoC-Shillong,eyebees@gmail.com,NA,NA
U01100TR2020PTC013846,NE JAYASREE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-10-20,Tripura,100000,100000,1100,"Agriculture, hunting and related service activities","C/O Sri Narayan Debnath Vill-Parimal Choumuhani, P.O. Charilam Charilam , West Tripura Unclassified TR 799103",RoC-Shillong,pj_law_solution@yahoo.in,NA,NA
U01100TR2020PTC013853,TRIPURESWARI AGRI PRODUCTION ANDMARKETING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-11-20,Tripura,500000,100000,1100,"Agriculture, hunting and related service activities","C/O KABERI DAS (NANDI) RAMNAGAR, ROAD NO 1 AGARTALA , West Tripura Unclassified TR 799002",RoC-Shillong,er.sumannandi@gmail.com,NA,NA
U01100TR2020PTC013862,HILLSTOP HORTI PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-12-20,Tripura,1500000,10000,1100,"Agriculture, hunting and related service activities","SAIDA CHERRA,KUMARGHAT,NADIAPUR BAZAR UNAKOTI , North Tripura Unclassified TR 799290",RoC-Shillong,obhini@gmail.com,NA,NA
U01100TR2021PTC013880,UTTAR PURBANCHAL KRISHI VIKASH PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,11-02-21,Tripura,1500000,105000,1100,"Agriculture, hunting and related service activities","REBATI MOHAN DAS, S/O LT. LAXMAN CH. DAS VIDHYSAGAR BAZAR, JOGENDRA NAGAR, AGARTALA , West Tripura Unclassified TR 799004",RoC-Shillong,upkvcl@gmail.com,NA,NA
U01100TR2021PTC013888,LONGTARAI VALLEY AGRO PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,10-03-21,Tripura,1000000,10000,1100,"Agriculture, hunting and related service activities","VILLAGE - KACHIMCHERA AMBASSA , Dhalai Unclassified TR 799204",RoC-Shillong,LTVAPCLTD.DHALAI2020@GMAIL.COM,NA,NA
U01110TR2017PTC013514,CHAUDDADEVTA ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,20-04-17,Tripura,1000000,100000,1110,"Agriculture, hunting and related service activities","Supari Bagan Krishna Nagar Agartala , West Tripura Unclassified TR 799002",RoC-Shillong,samal.avaya527@gmail.com,31-03-20,31-03-20
U01110TR2017PTC013518,TRIPURESWARI ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,24-05-17,Tripura,100000,100000,1110,"Agriculture, hunting and related service activities","Village Chakaku Para, Uttar Devipur Block-Bagafa Tripura , South Tripura Unclassified TR 799144",RoC-Shillong,samal.avaya527@gmail.com,31-03-20,31-03-20
U01110TR2017PTC013524,AATHARAMURA ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,23-06-17,Tripura,100000,100000,1110,"Agriculture, hunting and related service activities","P.S-Balaram Block-Bagamara Tripura , Dhalai Unclassified TR 799289",RoC-Shillong,aatharamurafpc@gmail.com,31-03-20,31-03-20
U01110TR2017PTC013525,DEO ORGANIC PRODUCER COMPANY LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-07-17,Tripura,100000,100000,1110,"Agriculture, hunting and related service activities","Vill-Rajkandi Block- Kumarghat Tripura , North Tripura Unclassified TR 799290",RoC-Shillong,samal.avaya527@gmail.com,31-03-20,31-03-20
U01110TR2017PTC013536,RNJ AGRICLINIC AND AGRIBUSINESS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,29-09-17,Tripura,500000,100000,1110,"Agriculture, hunting and related service activities","C/O SOHAM DUTTA NEAR GOVT. PRESS QUARTER AGARTALA , West Tripura Unclassified TR 799003",RoC-Shillong,csmjsharma@gmail.com,31-03-19,31-03-19
U01110TR2019PLC013727,SIPING CREATIONS LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-11-19,Tripura,1500000,70000,1110,"Agriculture, hunting and related service activities","C/o Sukramani Debbarma, Uttar Maharanipur, West Tripura UTTAR MAHARANIPUR , West Tripura Unclassified TR 799205",RoC-Shillong,boro.jadumoni@gmail.com,31-03-20,31-03-20
U01110TR2020PTC013753,DHALAI ORGANIC FARMERS PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,16-01-20,Tripura,1500000,100000,1110,"Agriculture, hunting and related service activities","SIMBUKCHARA SALEMA DHALAI , Dhalai Unclassified TR 799789",RoC-Shillong,organicdhalai11@gmail.com,NA,NA
U01111TR2003PLC007175,PURVANCHAL AGROFARM LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,31-07-03,Tripura,2000000,500000,1111,"Agriculture, hunting and related service activities","AGARTALA TRIPURA , West Tripura Unclassified TR 799003",RoC-Shillong,NA,NA,NA
U01111TR2020PTC013752,FARMCARE SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-20,Tripura,1000000,100000,1111,"Agriculture, hunting and related service activities","VILL- CHOUDHURY TILLA PO- INDRANAGAR AGARTALA , West Tripura Unclassified TR 799660",RoC-Shillong,fuzailahamed1@gmail.com,NA,NA
U01111TR2020PTC013756,KWSARANG ORGANIC PRODUCER COMPANYLIMITED,Active,Private,Company limited by Shares,Non-govt company,24-01-20,Tripura,100000,100000,1111,"Agriculture, hunting and related service activities","C/o Sh. Paritosh Debbarma Lanka Pura, Chhankhala, Dakshin Padmabil WEST TRIPURA , West Tripura Unclassified TR 799207",RoC-Shillong,debbarmaparitosh102@gmail.com,NA,NA
