CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L15133UR1990PLC023970,FLEX FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-02-90,Uttarakhand,200000000,124500000,15133,Manufacture of food products and beverages,"LAL TAPPAR INDUSTRIAL AREA,PO-RASHIEM MAGRI HARIDWAR ROAD,DEHRADUN, UTTRANCHAL , Unclassified UR 000000",RoC-Uttarakhand,secretarial@uflexltd.com,20200331,20200331
L21012UR1986PLC008002,JALPAC INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-07-86,Uttarakhand,200000000,149400000,21012,Manufacture of paper and paper products,"VILLAGE-TULARAMPURPOST-HALDU TEHSIL-HALDWANI DISTRICT-NAINITAL UTTARANCHAL , Nainital Unclassified UR 262402",RoC-Uttarakhand,jalpac@vsnl.com,20120331,20120331
L24111UR1983PLC009097,INDIA GLYCOLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-11-83,Uttarakhand,450000000,309615000,24111,Manufacture of chemicals and chemical products,"A-1,INDUSTRIAL AREA,BAZPUR ROAD, KASHIPUR, UDHAM SINGH NAGAR , Unclassified UR 244713",RoC-Uttarakhand,hs.bisht@indiaglycols.com,20200331,20200331
L24111UR1985PLC015063,ESTER INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-02-85,Uttarakhand,1659600000,416968795,24111,Manufacture of chemicals and chemical products,"SOHan NAGAR,P.O.CHARUBETA,KHATIMA DISTT.UDHAM SINGH NAGAR , Unclassified UR 262308",RoC-Uttarakhand,investor@ester.in,20200331,20200331
L24111UR1986PLC008252,SOLARSON INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-10-86,Uttarakhand,35000000,0,24111,Manufacture of chemicals and chemical products,"C1-C3, D-29-D32, UPSIDC, INDUSTRIAL AREA BHIMTAL, NAINITAL NAINITAL , Nainital Unclassified UR 000000",RoC-Uttarakhand,yatendra@willardindia.com,NA,NA
L24111UR1986PLC015895,MESCO PHARMACEUTICALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-08-86,Uttarakhand,300000000,197381000,24111,Manufacture of chemicals and chemical products,"UPPER KESALTON TALLITAL NANITAL NANITAL , Nainital Unclassified UR 263001",RoC-Uttarakhand,secretarialmpl@mescosteel.com,20200331,20200331
L24237UR1979PLC005041,SHIVALIK RASAYAN LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-03-79,Uttarakhand,100000000,68896150,24237,Manufacture of chemicals and chemical products,"VILLAGE KOLHUPANI, POST OFFICE CHANDANWARI, VIA PREM NAGAR, DEHRADUN , Unclassified UR 248007",RoC-Uttarakhand,CS@SHIVALIKRASAYAN.COM,20200331,20200331
L25209UR1984PLC011596,POLYPLEX CORPORATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-10-84,Uttarakhand,340000000,319846000,25209,Manufacture of rubber and plastics products,"LOHIA HEAD ROAD KHATIMA DISTT. UDHAM SINGH NAGARL UTTRANCHAL , Unclassified UR 000000",RoC-Uttarakhand,akgurnani@polyplex.com,20200331,20200331
L27101UR1984PLC006899,RMI STEELS LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-12-84,Uttarakhand,75000000,45197500,27101,Manufacture of basic metals,"A 1 MUNNI KI RETIINDUSTRIAL AREA DHALWALA RISHIKESH UTTRANCHAL , Unclassified UR 249201",RoC-Uttarakhand,rmisteels@gmail.com,20140331,20160331
L32203UR1989PLC015645,RAMA VISION LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-01-89,Uttarakhand,200000000,100262660,32203,"Manufacture of radio, television and communication equipment and apparatus","WARD NO.3, BAREILLY ROAD KICHHA, DISTT. UDHAM SINGH NAGAR UTTARANCHAL , Unclassified UR 263148",RoC-Uttarakhand,sehgal@ramavisionltd.com,20200331,20200331
L33119UR1981PLC006092,DESH RAKSHAK AUSHDHALAYA LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-09-81,Uttarakhand,100000000,44383240,33119,"Manufacture of medical, precision and optical instruments, watches and clocks","BHAGWANT KUTI KANKHAL HARIDWAR , Unclassified UR 249002",RoC-Uttarakhand,dral96@yahoo.in,20200331,20200331
L45202UR1991PLC000604,WELLESLEY CORPORATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,23-10-91,Uttarakhand,150000000,135004000,45202,Construction,"Shop No. 01 Country Inn Mehragaon Bhimtal , Nainital Unclassified UR 248179",RoC-Uttarakhand,info@wellesleycorp.com,20200331,20200331
L70102UR2013PLC000787,PUSHPANJALI REALMS AND INFRATECH LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-07-13,Uttarakhand,105000000,100110000,70102,Real estate activities,"Khasra no- 11 Tarla Nagal Near HeliPad Sahastradhra Road Dehradun , Dehradun Unclassified UR 248001",RoC-Uttarakhand,info@pushpanjali.co,20190331,20190331
L85110UR1995PLC008627,ARCHIDPLY INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-09-95,Uttarakhand,250000000,220650000,85110,Health and social work,"PLOT NO 7, SECTOR-9, INTEGRATED INDUSTRIAL ESTATE, SIDCUL, PANT NAGAR, RUDRAPUR, UDHAM SINGH NAGAR, RUDRAPUR , Udham Singh Nagar Unclassified UR 263153",RoC-Uttarakhand,cs@archidply.com,20200331,20200331
L99999UR1993PLC032518,UTTAM SUGAR MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-10-93,Uttarakhand,2050000000,960249200,99999,Extraterritorial organizations and bodies,"VILLAGE LIBBERHERI ROORKEE , Unclassified UR 247667",RoC-Uttarakhand,gramarathnam_uttam@yahoo.com,20200331,20200331
U00388UR2005PTC032732,PES HYDRO POWER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-12-05,Uttarakhand,10000000,100000,388,Unclassified,"PLOT NO. A-10, PHASE -1, ELDECO SIDCUL INDUSTRIAL PARK, SITARGUNJ , Unclassified UR 262405",RoC-Uttarakhand,vravi@peseng.net,20200331,20200331
